시점,행정동,성별,나이,인구수
2023-07-15,광명2동,여자,86,9
2023-07-15,광명2동,여자,87,8
2023-07-15,광명2동,여자,88,7
2023-07-15,광명2동,여자,89,2
2023-07-15,광명2동,여자,90,3
2023-07-15,광명2동,여자,91,0
2023-07-15,광명2동,여자,92,3
2023-07-15,광명2동,여자,93,2
2023-07-15,광명2동,여자,94,1
2023-07-15,광명2동,여자,95,0
2023-07-15,광명2동,여자,96,0
2023-07-15,광명2동,여자,97,0
2023-07-15,광명2동,여자,98,0
2023-07-15,광명2동,여자,99,0
2023-07-15,광명2동,여자,100,0
2023-07-15,광명3동,남자,0,14
2023-07-15,광명3동,남자,1,12
2023-07-15,광명3동,남자,2,8
2023-07-15,광명3동,남자,3,14
2023-07-15,광명3동,남자,4,12
2023-07-15,광명3동,남자,5,12
2023-07-15,광명3동,남자,6,13
2023-07-15,광명3동,남자,7,17
2023-07-15,광명3동,남자,8,9
2023-07-15,광명3동,남자,9,21
2023-07-15,광명3동,남자,10,21
2023-07-15,광명3동,남자,11,30
2023-07-15,광명3동,남자,12,27
2023-07-15,광명3동,남자,13,31
2023-07-15,광명3동,남자,14,33
2023-07-15,광명3동,남자,15,26
2023-07-15,광명3동,남자,16,36
2023-07-15,광명3동,남자,17,39
2023-07-15,광명3동,남자,18,40
2023-07-15,광명3동,남자,19,43
2023-07-15,광명3동,남자,20,41
2023-07-15,광명3동,남자,21,42
2023-07-15,광명3동,남자,22,33
2023-07-15,광명3동,남자,23,60
2023-07-15,광명3동,남자,24,49
2023-07-15,광명3동,남자,25,69
2023-07-15,광명3동,남자,26,51
2023-07-15,광명3동,남자,27,74
2023-07-15,광명3동,남자,28,70
2023-07-15,광명3동,남자,29,99
2023-07-15,광명3동,남자,30,68
2023-07-15,광명3동,남자,31,96
2023-07-15,광명3동,남자,32,74
2023-07-15,광명3동,남자,33,74
2023-07-15,광명3동,남자,34,54
2023-07-15,광명3동,남자,35,58
2023-07-15,광명3동,남자,36,46
2023-07-15,광명3동,남자,37,55
2023-07-15,광명3동,남자,38,44
2023-07-15,광명3동,남자,39,63
2023-07-15,광명3동,남자,40,68
2023-07-15,광명3동,남자,41,64
2023-07-15,광명3동,남자,42,56
2023-07-15,광명3동,남자,43,58
2023-07-15,광명3동,남자,44,59
2023-07-15,광명3동,남자,45,71
2023-07-15,광명3동,남자,46,59
2023-07-15,광명3동,남자,47,64
2023-07-15,광명3동,남자,48,67
2023-07-15,광명3동,남자,49,89
2023-07-15,광명3동,남자,50,84
2023-07-15,광명3동,남자,51,81
2023-07-15,광명3동,남자,52,93
2023-07-15,광명3동,남자,53,71
2023-07-15,광명3동,남자,54,84
2023-07-15,광명3동,남자,55,112
2023-07-15,광명3동,남자,56,81
2023-07-15,광명3동,남자,57,99
2023-07-15,광명3동,남자,58,100
2023-07-15,광명3동,남자,59,94
2023-07-15,광명3동,남자,60,91
2023-07-15,광명3동,남자,61,116
2023-07-15,광명3동,남자,62,127
2023-07-15,광명3동,남자,63,95
2023-07-15,광명3동,남자,64,81
2023-07-15,광명3동,남자,65,81
2023-07-15,광명3동,남자,66,76
2023-07-15,광명3동,남자,67,92
2023-07-15,광명3동,남자,68,94
2023-07-15,광명3동,남자,69,69
2023-07-15,광명3동,남자,70,63
2023-07-15,광명3동,남자,71,65
2023-07-15,광명3동,남자,72,42
2023-07-15,광명3동,남자,73,35
2023-07-15,광명3동,남자,74,51
2023-07-15,광명3동,남자,75,55
2023-07-15,광명3동,남자,76,57
2023-07-15,광명3동,남자,77,25
2023-07-15,광명3동,남자,78,40
2023-07-15,광명3동,남자,79,30
2023-07-15,광명3동,남자,80,36
2023-07-15,광명3동,남자,81,41
2023-07-15,광명3동,남자,82,28
2023-07-15,광명3동,남자,83,25
2023-07-15,광명3동,남자,84,15
2023-07-15,광명3동,남자,85,12
2023-07-15,광명3동,남자,86,8
2023-07-15,광명3동,남자,87,11
2023-07-15,광명3동,남자,88,10
2023-07-15,광명3동,남자,89,3
2023-07-15,광명3동,남자,90,2
2023-07-15,광명3동,남자,91,2
2023-07-15,광명3동,남자,92,1
2023-07-15,광명3동,남자,93,0
2023-07-15,광명3동,남자,94,1
2023-07-15,광명3동,남자,95,2
2023-07-15,광명3동,남자,96,0
